Rssi,Riding
-58,1
-69,1
-82,1
-82,0
-84,0
-73,1
-72,1
-84,0
-84,1
-80,0
-82,0
-84,0
-76,0
-92,1
-74,1
-79,1
-77,1
-71,1
-78,1
-86,0
-91,0
-73,0
-75,0
-82,0
-76,0
-71,1
-89,0
-82,0
-78,1
-77,0
-81,0
-71,1
-66,1
-77,0
-80,1
-76,1
-86,1
-73,0
-83,0
-67,1
-84,0
-84,0
-77,0
-85,0
-72,1
-78,0
-66,0
-69,1
-75,1
-71,1
-66,1
-70,1
-67,1
-78,1
-67,0
-74,0
-62,1
-72,0
-58,1
-86,0
-73,1
-64,1
-68,1
-78,1
-66,1
-70,1
-75,0
-81,0
-71,0
-74,0
-72,0
-70,0
-66,1
-73,0
-72,1
-76,1
-66,1
-67,0
-67,0
-78,1
-73,0
-66,0
-66,1
-79,1
-66,0
-77,1
-76,1
-76,1
-54,0
-66,0
-70,0
-75,1
-66,0
-47,1
-39,1
-57,1
-63,1
-63,1
-65,1
-43,1
-57,1
-44,1
-66,1
-38,1
-58,1
-68,1
-44,1
-62,1
-62,1
-58,1
-63,1
-44,1
-62,1
-55,1
-44,1
-61,1
-71,1
-67,1
-44,1
-68,1
-46,1
-62,1
-65,1
-74,1
-56,1
-47,1
-66,1
-68,1
-44,1
-39,1
-65,1
-62,1
-64,1
-47,1
-66,1
-64,1
-45,1
-71,1
-40,1
-63,1
-46,1
-71,1
-70,1
-43,1
-60,1
-67,1
-69,1
-47,1
-58,1
-62,1
-46,1
-68,1
-68,1
-62,1
-46,1
-60,1
-65,1
-38,1
-62,1
-63,1
-47,1
-74,1
-39,1
-64,1
-46,1
-70,1
-60,1
-45,1
-68,1
-38,1
-64,1
-68,1
-45,1
-70,1
-68,1
-46,1
-84,1
-44,1
-76,1
-39,1
-46,1
-68,1
-61,1
-46,1
-63,1
-77,1
-42,1
-63,1
-48,1
-70,1
-41,1
-38,1
-66,1
-60,1
-47,1
-69,1
-40,1
-69,1
-73,1
-44,1
-71,1
-60,1
-69,1
-43,1
-72,1
-47,1
-45,1
-66,1
-47,1
-67,1
-66,1
-40,1
-58,1
-46,1
-68,1
-44,1
-74,1
-40,1
-66,1
-68,1
-44,1
-72,1
-69,1
-44,1
-68,1
-67,1
-64,1
-68,1
-65,1
-68,1
-60,1
-44,1
-64,1
-47,1
-45,1
-64,1
-48,1
-71,1
-68,1
-41,1
-65,1
-59,1
-39,1
-58,1
-82,1
-44,1
-68,1
-66,1
-67,1
-44,1
-38,1
-47,1
-62,1
-68,1
-39,1
-68,1
-66,1
-66,1
-39,1
-74,1
-59,1
-45,1
-68,1
-43,1
-65,1
-65,1
-48,1
-60,1
-39,1
-60,1
-67,1
-39,1
-71,1
-63,1
-68,1
-46,1
-61,1
-69,1
-40,1
-64,1
-68,1
-61,1
-59,1
-61,1
-43,1
-59,1
-40,1
-69,1
-47,1
-72,1
-66,1
-69,1
-67,1
-66,1
-47,1
-63,1
-65,1
-64,1
-39,1
-65,1
-46,1
-64,1
-81,1
-68,1
-46,1
-65,1
-47,1
-73,1
-39,1
-69,1
-48,1
-65,1
-69,1
-42,1
-48,1
-40,1
-70,1
-69,1
-44,1
-63,1
-66,1
-70,1
-44,1
-63,1
-41,1
-48,1
-47,1
-63,1
-66,1
-44,1
-71,1
-40,1
-67,1
-68,1
-47,1
-57,1
-46,1
-67,1
-67,1
-62,1
-54,1
-44,1
-55,1
-66,1
-66,1
-64,1
-44,1
-64,1
-40,1
-65,1
-68,1
-47,1
-56,1
-72,1
-67,1
-41,1
-66,1
-66,1
-64,1
-39,1
-46,1
-67,1
-64,1
-57,1
-80,1
-67,1
-48,1
-65,1
-56,1
-43,1
-74,1
-65,1
-59,1
-68,1
-41,1
-66,1
-47,1
-58,1
-55,1
-44,1
-64,1
-46,1
-67,1
-72,1
-44,1
-66,1
-44,1
-64,1
-41,1
-62,1
-56,1
-44,1
-74,1
-65,1
-57,1
-46,1
-66,1
-67,1
-57,1
-44,1
-80,1
-56,1
-47,1
-65,1
-44,1
-41,1
-47,1
-68,1
-47,1
-78,1
-56,1
-67,1
-48,1
-41,1
-67,1
-68,1
-68,1
-46,1
-68,1
-69,1
-65,1
-48,1
-57,1
-39,1
-65,1
-69,1
-48,1
-65,1
-58,1
-64,1
-47,1
-75,1
-66,1
-39,1
-65,1
-68,1
-41,1
-56,1
-46,1
-39,1
-55,1
-69,1
-39,1
-46,1
-71,1
-67,1
-67,1
-70,1
-41,1
-56,1
-41,1
-68,1
-47,1
-40,1
-56,1
-69,1
-47,1
-74,1
-56,1
-67,1
-67,1
-56,1
-44,1
-69,1
-67,1
-48,1
-64,1
-69,1
-41,1
-69,1
-48,1
-74,1
-40,1
-68,1
-67,1
-47,1
-56,1
-42,1
-69,1
-44,1
-68,1
-56,1
-73,1
-67,1
-40,1
-63,1
-44,1
-75,1
-68,1
-43,1
-69,1
-68,1
-39,1
-66,1
-67,1
-56,1
-41,1
-75,1
-66,1
-46,1
-66,1
-55,1
-69,1
-66,1
-48,1
-54,1
-44,1
-68,1
-56,1
-44,1
-67,1
-48,1
-55,1
-41,1
-65,1
-66,1
-68,1
-46,1
-41,1
-73,1
-66,1
-48,1
-68,1
-57,1
-39,1
-72,1
-66,1
-47,1
-56,1
-39,1
-75,1
-66,1
-47,1
-67,1
-67,1
-45,1
-75,1
-70,1
-46,1
-71,1
-47,1
-56,1
-67,1
-48,1
-73,1
-69,1
-66,1
-71,1
-68,1
-56,1
-41,1
-67,1
-71,1
-66,1
-41,1
-71,1
-67,1
-39,1
-56,1
-47,1
-71,1
-69,1
-68,1
-46,1
-71,1
-68,1
-39,1
-71,1
-67,1
-69,1
-40,1
-62,1
-65,1
-47,1
-61,1
-68,1
-39,1
-74,1
-58,1
-47,1
-71,1
-67,1
-57,1
-67,1
-44,1
-56,1
-48,1
-57,1
-74,1
-41,1
-69,1
-67,1
-47,1
-59,1
-45,1
-66,1
-44,1
-68,1
-39,1
-67,1
-47,1
-67,1
-40,1
-72,1
-66,1
-48,1
-68,1
-67,1
-39,1
-67,1
-72,1
-47,1
-39,1
-73,1
-68,1
-40,1
-48,1
-71,1
-39,1
-57,1
-47,1
-67,1
-41,1
-61,1
-57,1
-44,1
-57,1
-40,1
-44,1
-75,1
-57,1
-47,1
-67,1
-44,1
-55,1
-40,1
-67,1
-71,1
-56,1
-77,1
-67,1
-42,1
-71,1
-48,1
-75,1
-40,1
-72,1
-82,1
-67,1
-65,1
-44,1
-71,1
-67,1
-47,1
-76,1
-67,1
-44,1
-54,1
-68,1
-71,1
-56,1
-39,1
-71,1
-76,1
-69,1
-72,1
-67,1
-44,1
-71,1
-55,1
-74,1
-65,1
-68,1
-40,1
-72,1
-48,1
-56,1
-71,1
-42,1
-66,1
-47,1
-75,1
-74,1
-64,1
-46,1
-66,1
-41,1
-73,1
-56,1
-47,1
-72,1
-65,1
-40,1
-77,1
-55,1
-67,1
-66,1
-71,1
-44,1
-78,1
-44,1
-47,1
-40,1
-55,1
-73,1
-65,1
-76,1
-68,1
-72,1
-38,1
-47,1
-67,1
-73,1
-75,1
-47,1
-70,1
-46,1
-68,1
-40,1
-47,1
-47,1
-56,1
-45,1
-74,1
-39,1
-70,1
-66,1
-47,1
-65,1
-56,1
-41,1
-70,1
-41,1
-66,1
-66,1
-66,1
-43,1
-65,1
-56,1
-44,1
-70,1
-66,1
-41,1
-69,1
-60,1
-56,1
-42,1
-73,1
-44,1
-69,1
-48,1
-70,1
-68,1
-74,1
-76,1
-66,1
-56,1
-44,1
-79,1
-44,1
-70,1
-80,1
-55,1
-64,1
-44,1
-69,1
-68,1
-65,1
-44,1
-54,1
-64,1
-44,1
-64,1
-39,1
-68,1
-69,1
-55,1
-59,1
-60,1
-52,1
-68,1
-64,1
-54,1
-67,1
-67,1
-75,1
-57,1
-66,1
-66,1
-67,1
-68,1
-72,1
-66,1
-64,1
-71,1
-53,1
-65,1
-65,1
-69,1
-62,1
-64,1
-69,1
-55,1
-69,1
-67,1
-68,1
-60,1
-68,1
-69,1
-67,1
-68,1
-57,1
-67,1
-67,1
-66,1
-55,1
-54,1
-62,1
-61,1
-69,1
-64,1
-61,1
-65,1
-71,1
-64,1
-69,1
-69,1
-64,1
-54,1
-64,1
-69,1
-59,1
-67,1
-65,1
-68,1
-57,1
-69,1
-59,1
-68,1
-68,1
-68,1
-60,1
-69,1
-67,1
-68,1
-69,1
-55,1
-60,1
-67,1
-71,1
-69,1
-65,1
-67,1
-69,1
-67,1
-73,1
-58,1
-67,1
-69,1
-68,1
-67,1
-57,1
-67,1
-54,1
-71,1
-68,1
-67,1
-67,1
-68,1
-63,1
-68,1
-69,1
-54,1
-68,1
-59,1
-69,1
-69,1
-58,1
-63,1
-68,1
-67,1
-58,1
-68,1
-57,1
-58,1
-68,1
-64,1
-70,1
-67,1
-58,1
-59,1
-67,1
-68,1
-68,1
-54,1
-67,1
-58,1
-53,1
-72,1
-63,1
-69,1
-68,1
-60,1
-66,1
-70,1
-66,1
-56,1
-68,1
-56,1
-61,1
-70,1
-61,1
-65,1
-57,1
-62,1
-68,1
-67,1
-58,1
-51,1
-57,1
-69,1
-70,1
-72,1
-66,1
-62,1
-68,1
-85,1
-64,1
-71,1
-68,1
-64,1
-74,1
-72,1
-61,1
-67,1
-75,1
-54,1
-60,1
-79,1
-69,1
-70,1
-60,1
-62,1
-53,1
-69,1
-53,1
-74,1
-71,1
-60,1
-73,1
-57,1
-69,1
-57,1
-63,1
-67,1
-70,1
-68,1
-68,1
-79,1
-58,1
-62,1
-55,1
-67,1
-64,1
-64,1
-69,1
-62,1
-59,1
-69,1
-69,1
-69,1
-68,1
-70,1
-70,1
-62,1
-69,1
-69,1
-72,1
-58,1
-70,1
-56,1
-67,1
-70,1
-68,1
-68,1
-67,1
-67,1
-68,1
-60,1
-66,1
-54,1
-64,1
-55,1
-54,1
-75,1
-57,1
-72,1
-66,1
-60,1
-59,1
-56,1
-72,1
-60,1
-59,1
-65,1
-66,1
-53,1
-69,1
-57,1
-73,1
-55,1
-68,1
-68,1
-72,1
-68,1
-71,1
-57,1
-62,1
-68,1
-71,1
-56,1
-62,1
-69,1
-55,1
-69,1
-63,1
-54,1
-69,1
-71,1
-62,1
-57,1
-72,1
-67,1
-64,1
-53,1
-63,1
-70,1
-68,1
-67,1
-72,1
-53,1
-61,1
-58,1
-76,1
-61,1
-67,1
-54,1
-69,1
-68,1
-69,1
-65,1
-66,1
-72,1
-67,1
-64,1
-54,1
-61,1
-61,1
-68,1
-66,1
-67,1
-65,1
-68,1
-55,1
-61,1
-66,1
-68,1
-64,1
-68,1
-56,1
-68,1
-57,1
-65,1
-67,1
-69,1
-68,1
-61,1
-69,1
-67,1
-68,1
-69,1
-54,1
-59,1
-65,1
-68,1
-69,1
-71,1
-64,1
-55,1
-66,1
-62,1
-67,1
-62,1
-68,1
-67,1
-68,1
-64,1
-60,1
-61,1
-67,1
-66,1
-66,1
-56,1
-58,1
-61,1
-68,1
